表1-2-10 高級中等學校畢業生就業情況—按群別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,人數,,,,,,,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,,,,,,,
,,,綜合,879,537,22,4,83,4,1,9,65,7,143, -,1, -,21,62, -,1,7,9,98,100.00,61.09,2.50,0.46,9.44,0.46,0.11,1.02,7.39,0.80,16.27, -,0.11, -,2.39,7.05, -,0.11,0.80,1.02,11.15,
,綜合高中,,,"10,728",402,8,2,27,5, -,15,28,3,67,2, -, -,6,11,116,1,2,26,83,100.00,3.75,0.07,0.02,0.25,0.05, -,0.14,0.26,0.03,0.62,0.02, -, -,0.06,0.10,1.08,0.01,0.02,0.24,0.77,
,,學術群,,"6,293",57, -, -,1, -, -,2,3, -,11,1, -, -, -, -,10, -, -,5,24,100.00,0.91, -, -,0.02, -, -,0.03,0.05, -,0.17,0.02, -, -, -, -,0.16, -, -,0.08,0.38,
,,專門學群,,"4,435",345,8,2,26,5, -,13,25,3,56,1, -, -,6,11,106,1,2,21,59,100.00,7.78,0.18,0.05,0.59,0.11, -,0.29,0.56,0.07,1.26,0.02, -, -,0.14,0.25,2.39,0.02,0.05,0.47,1.33,
,,,機械群,251,29,3, -,3,1, -,1,1,1,1, -, -, -,1,3,12,1, -, -,1,100.00,11.55,1.20, -,1.20,0.40, -,0.40,0.40,0.40,0.40, -, -, -,0.40,1.20,4.78,0.40, -, -,0.40,
,,,動力機械群,31,12, -, -,2, -, -, -, -, -,2, -, -, -, -, -, -, -, -, -,8,100.00,38.71, -, -,6.45, -, -, -, -, -,6.45, -, -, -, -, -, -, -, -, -,25.81,
,,,電機與電子群,396,16, -, -,8,1, -,1,1, -,1, -, -, -,1,1, -, -, -,1,1,100.00,4.04, -, -,2.02,0.25, -,0.25,0.25, -,0.25, -, -, -,0.25,0.25, -, -, -,0.25,0.25,
,,,化工群,71,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -,1,100.00,2.82, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1.41, -, -, -,1.41,
,,,土木與建築群,215,6, -, -, -, -, -,1, -, -, -, -, -, -, -, -,4, -, -, -,1,100.00,2.79, -, -, -, -, -,0.47, -, -, -, -, -, -, -, -,1.86, -, -, -,0.47,
,,,商業與管理群,"1,672",115,1,1,9,1, -,9,12,2,13,1, -, -,1,4,47, -,1,5,8,100.00,6.88,0.06,0.06,0.54,0.06, -,0.54,0.72,0.12,0.78,0.06, -, -,0.06,0.24,2.81, -,0.06,0.30,0.48,
