表1-2-5 高級中等學校畢業生升學情形—按縣市別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,人數,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,
,,,"畢業生
,,屏東縣,"7,167","5,525","1,010",266,"3,756",180,29,1,19,1,4,76,179,3,1,100.00,77.09,14.09,3.71,52.41,2.51,0.40,0.01,0.27,0.01,0.06,1.06,2.50,0.04,0.01,
,,臺東縣,"1,895","1,456",385,18,948,8,19,10,1,6,3,26,31,1, -,100.00,76.83,20.32,0.95,50.03,0.42,1.00,0.53,0.05,0.32,0.16,1.37,1.64,0.05, -,
,,花蓮縣,"3,852","2,990",632,21,"2,206",28,11,3,4,2, -,31,44,7,1,100.00,77.62,16.41,0.55,57.27,0.73,0.29,0.08,0.10,0.05, -,0.80,1.14,0.18,0.03,
,,澎湖縣,800,563,283,19,246,4, -,1, -, -, -,5,5, -, -,100.00,70.38,35.38,2.38,30.75,0.50, -,0.13, -, -, -,0.63,0.63, -, -,
,,基隆市,"4,720","4,379",661,46,"3,509",91, -, -,5,1,1,15,44,6, -,100.00,92.78,14.00,0.97,74.34,1.93, -, -,0.11,0.02,0.02,0.32,0.93,0.13, -,
,,新竹市,"6,113","5,655","1,976",13,"3,443",94,4, -,2,2,1,8,30,81,1,100.00,92.51,32.32,0.21,56.32,1.54,0.07, -,0.03,0.03,0.02,0.13,0.49,1.33,0.02,
,,嘉義市,"6,707","5,638","1,701",136,"3,418",145,36,1,3,4,19,58,103,14, -,100.00,84.06,25.36,2.03,50.96,2.16,0.54,0.01,0.04,0.06,0.28,0.86,1.54,0.21, -,
,,金門縣,637,533,169,63,274,8, -, -,6, -, -,3,9, -,1,100.00,83.67,26.53,9.89,43.01,1.26, -, -,0.94, -, -,0.47,1.41, -,0.16,
,,連江縣,108,98,40, -,58, -, -, -, -, -, -, -, -, -, -,100.00,90.74,37.04, -,53.70, -, -, -, -, -, -, -, -, -, -,
國立,,,"79,112","72,027","27,594","1,944","38,526","1,737",171,44,99,30,51,502,"1,023",260,46,100.00,91.04,34.88,2.46,48.70,2.20,0.22,0.06,0.13,0.04,0.06,0.63,1.29,0.33,0.06,
,,新北市,504,494,101, -,358,3, -, -, -, -, -,1, -,16,15,100.00,98.02,20.04, -,71.03,0.60, -, -, -, -, -,0.20, -,3.17,2.98,
,,臺北市,"1,355","1,298",944,5,303,2, -, -, -, -,2,1,8,33, -,100.00,95.79,69.67,0.37,22.36,0.15, -, -, -, -,0.15,0.07,0.59,2.44, -,
,,臺中市,"11,254","10,413","5,933",270,"3,772",263,2,1, -,1,4,28,100,39, -,100.00,92.53,52.72,2.40,33.52,2.34,0.02,0.01, -,0.01,0.04,0.25,0.89,0.35, -,
,,臺南市,"10,825","9,837","3,865",121,"5,031",537,29,1,2,3,6,48,170,24, -,100.00,90.87,35.70,1.12,46.48,4.96,0.27,0.01,0.02,0.03,0.06,0.44,1.57,0.22, -,
