表1-2-6 高級中等學校畢業生就業情況—按縣市別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,人數,,,,,,,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,,,,,,,
,金門縣,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
,連江縣,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
私立,,,"120,331","16,172",329,52,"1,885",137,25,472,"1,211",436,"4,714",251,60,20,"1,467",375,767,46,68,755,"3,102",100.00,13.44,0.27,0.04,1.57,0.11,0.02,0.39,1.01,0.36,3.92,0.21,0.05,0.02,1.22,0.31,0.64,0.04,0.06,0.63,2.58,
,新北市,,"16,040","2,298",7,3,90,16,3,85,247,100,735,55,14,5,204,70,15,11,18,144,476,100.00,14.33,0.04,0.02,0.56,0.10,0.02,0.53,1.54,0.62,4.58,0.34,0.09,0.03,1.27,0.44,0.09,0.07,0.11,0.90,2.97,
,臺北市,,"15,262",943, -,1,9,1, -,20,43,2,452,7,2,2,70,27,8,3,10,18,268,100.00,6.18, -,0.01,0.06,0.01, -,0.13,0.28,0.01,2.96,0.05,0.01,0.01,0.46,0.18,0.05,0.02,0.07,0.12,1.76,
,臺中市,,"19,405","1,367",17,5,184,6,5,48,90,31,384,7,2,1,131,26,59,8,2,95,266,100.00,7.04,0.09,0.03,0.95,0.03,0.03,0.25,0.46,0.16,1.98,0.04,0.01,0.01,0.68,0.13,0.30,0.04,0.01,0.49,1.37,
,臺南市,,"10,523","1,331",15,5,180,20,1,68,86,29,443,7,6, -,137,11,30,2,4,72,215,100.00,12.65,0.14,0.05,1.71,0.19,0.01,0.65,0.82,0.28,4.21,0.07,0.06, -,1.30,0.10,0.29,0.02,0.04,0.68,2.04,
,高雄市,,"15,094","3,533",47,8,557,20,7,70,192,83,950,31,13,5,359,86,285,4,6,162,648,100.00,23.41,0.31,0.05,3.69,0.13,0.05,0.46,1.27,0.55,6.29,0.21,0.09,0.03,2.38,0.57,1.89,0.03,0.04,1.07,4.29,
,宜蘭縣,,413, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,100.00, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
,桃園縣,,"14,221","1,436",12,10,205,7,2,47,84,96,388,12,9,3,110,56,56,5,4,99,231,100.00,10.10,0.08,0.07,1.44,0.05,0.01,0.33,0.59,0.68,2.73,0.08,0.06,0.02,0.77,0.39,0.39,0.04,0.03,0.70,1.62,
,新竹縣,,"2,975",252,6,2,41,6, -,4,33, -,58,6,2, -,27,2,10, -,1,3,51,100.00,8.47,0.20,0.07,1.38,0.20, -,0.13,1.11, -,1.95,0.20,0.07, -,0.91,0.07,0.34, -,0.03,0.10,1.71,
,苗栗縣,,"2,623",522,2, -,84, -, -,14,25,19,111,53,1,1,81,26,5, -, -,45,55,100.00,19.90,0.08, -,3.20, -, -,0.53,0.95,0.72,4.23,2.02,0.04,0.04,3.09,0.99,0.19, -, -,1.72,2.10,
,彰化縣,,"5,037","1,113",60,9,183,28,1,40,138,9,338,12,2, -,121,9,20,5,13,11,114,100.00,22.10,1.19,0.18,3.63,0.56,0.02,0.79,2.74,0.18,6.71,0.24,0.04, -,2.40,0.18,0.40,0.10,0.26,0.22,2.26,
,南投縣,,"1,251",199, -, -,7, -,1,1,42,9,70, -, -, -,52, -,7, -, -,3,7,100.00,15.91, -, -,0.56, -,0.08,0.08,3.36,0.72,5.60, -, -, -,4.16, -,0.56, -, -,0.24,0.56,
,雲林縣,,"3,336",809,92,2,80,6,4,12,156,12,179,23,2, -,12,2,25, -,1,36,165,100.00,24.25,2.76,0.06,2.40,0.18,0.12,0.36,4.68,0.36,5.37,0.69,0.06, -,0.36,0.06,0.75, -,0.03,1.08,4.95,
,嘉義縣,,"2,268",668,40,2,119,9, -,34,30,17,154,18,5, -,43,13,5,1,4,32,142,100.00,29.45,1.76,0.09,5.25,0.40, -,1.50,1.32,0.75,6.79,0.79,0.22, -,1.90,0.57,0.22,0.04,0.18,1.41,6.26,
,屏東縣,,"2,388",463,6,3,19,8, -,8,3,8,158,9,1,1,61,5,75,1,1,7,89,100.00,19.39,0.25,0.13,0.80,0.34, -,0.34,0.13,0.34,6.62,0.38,0.04,0.04,2.55,0.21,3.14,0.04,0.04,0.29,3.73,
,臺東縣,,428,77,4, -,3,2, -,3, -, -,24,1, -,1,17, -,9,2, -,3,8,100.00,17.99,0.93, -,0.70,0.47, -,0.70, -, -,5.61,0.23, -,0.23,3.97, -,2.10,0.47, -,0.70,1.87,
,花蓮縣,,"1,616",334,9, -,9,4,1,12,8,10,68,2, -, -,28,4,141, -,1,2,35,100.00,20.67,0.56, -,0.56,0.25,0.06,0.74,0.50,0.62,4.21,0.12, -, -,1.73,0.25,8.73, -,0.06,0.12,2.17,
,澎湖縣,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
,基隆市,,"1,938",154, -, -,12, -, -, -, -, -,31,5, -, -, -,6, -, -, -,2,98,100.00,7.95, -, -,0.62, -, -, -, -, -,1.60,0.26, -, -, -,0.31, -, -, -,0.10,5.06,
,新竹市,,"2,589",195, -,2,27,2, -,3, -,2,84,1, -,1,13,28, -,2,1,2,27,100.00,7.53, -,0.08,1.04,0.08, -,0.12, -,0.08,3.24,0.04, -,0.04,0.50,1.08, -,0.08,0.04,0.08,1.04,
,嘉義市,,"2,924",478,12, -,76,2, -,3,34,9,87,2,1, -,1,4,17,2,2,19,207,100.00,16.35,0.41, -,2.60,0.07, -,0.10,1.16,0.31,2.98,0.07,0.03, -,0.03,0.14,0.58,0.07,0.07,0.65,7.08,
,金門縣,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
,連江縣,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
說明：,,"1. 本表依高中職應屆畢業生升學就業概況調查資料計算。
2. 本表含特教學校附設普通科、實用技能學程及大專校院附設職業類科畢業生資料，不含進修部資料。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
